company;sector;horizon (days);amount;date_BUY_fix;date_SELL_fix;price_BUY;price_SELL;Volatility_Buy;Volatility_sell;Sharpe Ratio;expected_return (yearly);inflation;nominal_return;investment;ESG_ranking;PE_ratio;EPS_ratio;PS_ratio;PB_ratio;NetProfitMargin_ratio;current_ratio;roa_ratio;roe_ratio
AXP;BANK;6;10000;1/5/2015;7/5/2015;7.078.632.354.736.320;7.146.977.233.886.710;0.1938358545577961;0.19258977065381577;0.1938358545577961;0.0024202500743147055;-0.5;0.009655096595694919;GOOD;19.8;12.49;5.7;2.09;3.31;16.61;2.22;3.82;28.56
SC;BANK;15;300;24/8/2016;8/9/2016;10.479.266.166.687.000;11.085.724.830.627.400;0.5379307985570768;0.5355921735789914;0.5379307985570768;0.0004721774132583991;-0.2;0.05787224546966152;GOOD;26.9;4.33;2.16;0.48;0.69;10.19;0.92;1.9;15.4
GM;AUTO;180;50;10/5/2016;7/11/2016;26.469.388.961.791.900;2.770.703.887.939.450;0.2578846141463454;0.2387725922189576;0.2578846141463454;0.02016119317389063;-0.2;0.04675778195669952;GOOD;30.6;3.98;6.67;0.31;0.96;7.79;0.95;5.54;28.06
M;RETAIL;600;1000;11/12/2015;2/8/2017;28.202.268.600.463.800;19.035.602.569.580.000;0.2951554636922063;0.41987670461264065;0.2951554636922063;0.01427036579601929;-0.5;-0.3250329312420284;BAD;14.5;10.04;3.82;0.48;3.03;4.79;1.25;6.28;27.23
JPM;BANK;330;50000;11/4/2016;7/3/2017;5.091.121.292.114.250;8.161.951.446.533.200;0.2546043754215512;0.2016513712987215;0.2546043754215512;0.13748045742129542;-0.2;0.6031736386197314;GOOD;27.9;8.73;5.89;1.92;0.75;22.14;1.02;0.92;9.04
PEP;FMCG;330;10000;22/12/2017;16/11/2018;10.832.418.823.242.100;11.080.525.207.519.500;0.09825013110428937;0.16979040494529588;0.09825013110428937;0.07178949098913123;1.96;0.0229040612559222;BAD;17.6;32.49;3.37;2.48;14.16;7.65;1.51;6.27;39.97
AMZN;TECH;540;10000;23/6/2017;14/12/2018;1.003.739.990.234.370;15.919.100.341.796.800;0.18664670204512915;0.3369964121629951;0.18664670204512915;0.48642567331027065;1.96;0.5859784901147296;BAD;27.4;245.69;3.94;3.14;20.02;1.28;1.01;2.38;9.38
TSLA;AUTO;90;1500;8/9/2014;8/12/2014;56.422.000.885.009.700;4.287.200.164.794.920;0.5483803550154298;0.4828464380721651;0.5483803550154298;0.12716800975035286;-0.15;-0.24015453235478076;BAD;31.1;0.0;-0.33;10.47;31.75;-7.11;1.83;-4.66;-23.27
WMT;RETAIL;50;4000;1/9/2017;20/10/2017;7.341.448.211.669.920;8.191.096.496.582.030;0.15228069482968548;0.15173763599611484;0.15228069482968548;0.013292222408617226;1.96;0.11573306252593508;BAD;27.3;17.9;4.16;0.47;2.82;2.6;0.78;6.31;16.1
GM;AUTO;660;3000;17/12/2015;6/10/2017;284.429.988.861.084;4.055.413.055.419.920;0.2458951715048946;0.23400526015772957;0.2458951715048946;0.0739243749709323;-0.5;0.42580361222057755;GOOD;30.6;4.73;5.99;0.34;1.05;7.14;0.98;5.17;26.19
GM;AUTO;540;300;25/6/2018;17/12/2019;37.690.582.275.390.600;3.587.239.456.176.750;0.26463708019527;0.2508083820088841;0.26463708019527;0.06048357952167188;1.68;-0.04823984146326652;BAD;30.6;0.0;-3.3;0.37;1.32;-3.28;0.88;-2.15;-12.3
MSFT;TECH;40;500;11/6/2018;20/7/2018;9.773.384.857.177.730;10.278.255.462.646.400;0.21919164131490257;0.21932994138942707;0.21919164131490257;0.02391642953689124;1.68;0.051657702305457125;BAD;14.7;45.35;2.11;6.74;8.88;15.02;2.9;6.57;20.09
BAC;BANK;2;4000;15/2/2018;16/2/2018;3.011.724.281.311.030;29.892.837.524.414.000;0.2192596441134262;0.21942387662404267;0.2192596441134262;0.0010361762974199888;1.68;-0.007451056860975437;BAD;26.3;17.8;1.55;3.0;1.06;16.71;0.91;0.73;6.16
AXP;BANK;540;400;27/5/2016;17/11/2017;6.071.146.774.291.990;8.910.211.944.580.070;0.24089644535359545;0.13319196725491858;0.24089644535359545;0.2178225066883235;-0.2;0.4676324384562706;GOOD;19.8;11.33;5.0;1.63;2.6;14.29;1.92;3.13;23.37
PEP;FMCG;5;2000;17/11/2016;22/11/2016;8.962.771.606.445.310;9.074.785.614.013.670;0.1380263275354652;0.13790385467331182;0.1380263275354652;0.0010877195604413823;-0.2;0.012497697418486912;GOOD;17.6;21.03;4.56;2.27;10.83;10.74;1.32;9.29;54.98
JPM;BANK;7;5000;22/9/2014;29/9/2014;50.809.181.213.378.900;50.325.355.529.785.100;0.17798765273584896;0.17463918656311464;0.17798765273584896;0.002916252127118388;-0.15;-0.009522406620997676;BAD;27.9;9.31;5.4;1.83;0.81;19.67;0.96;0.83;9.25
GM;AUTO;90;4000;12/5/2015;10/8/2015;280.277.156.829.834;26.035.600.662.231.400;0.23070860204576937;0.2320763907838577;0.23070860204576937;0.010080596586945314;-0.5;-0.07107661014134789;BAD;30.6;14.14;2.14;0.33;1.31;2.35;1.24;2.03;9.12
BBY;RETAIL;300;2000;1/9/2017;28/6/2018;49.707.496.643.066.400;7.007.295.227.050.780;0.3711262326344961;0.32517919049072164;0.3711262326344961;0.21558776605992375;1.96;0.40970591968610315;BAD;12.0;14.03;3.79;0.42;3.67;3.0;1.42;8.75;26.9
HMC;AUTO;480;20000;23/3/2018;16/7/2019;3.290.999.984.741.210;2.615.999.984.741.210;0.1563120589988706;0.20357515911736593;0.1563120589988706;-0.012059914294351538;1.68;-0.20510483230922255;BAD;28.5;6.04;5.28;0.41;0.77;6.9;1.23;5.47;13.12
TSLA;AUTO;90;4000;9/9/2015;8/12/2015;4.978.200.149.536.130;4.534.400.177.001.950;0.4024430886931779;0.3891388080509309;0.4024430886931779;0.12716800975035286;-0.5;-0.08914868008582034;BAD;31.1;0.0;-1.06;8.3;24.73;-17.84;1.17;-10.41;-71.74
AAPL;TECH;420;5000;23/10/2015;16/12/2016;2.746.349.334.716.790;27.458.349.227.905.200;0.25812881800014453;0.23808033541625184;0.25812881800014453;0.2827947763527424;-0.5;-0.0001873075357773367;BAD;16.5;11.02;2.3;2.53;4.74;22.85;1.11;19.66;42.94
KSS;RETAIL;150;1500;19/12/2017;18/5/2018;4.682.808.303.833.000;569.342.155.456.543;0.3911634092262936;0.3368148490936345;0.3911634092262936;0.002816948927737043;1.96;0.2158135001821892;BAD;12.9;9.66;3.77;0.31;1.22;3.18;1.61;4.78;12.75
COST;RETAIL;7;3000;3/6/2015;10/6/2015;12.572.625.732.421.800;123.337.890.625;0.1523455450132134;0.15301314498160687;0.1523455450132134;0.0032108086186739917;-0.5;-0.018996562452819287;BAD;22.3;24.18;5.22;0.48;5.13;1.99;1.05;6.85;19.92
M;RETAIL;4;400;11/8/2014;15/8/2014;44.477.787.017.822.200;4.250.247.573.852.530;0.2269377972594887;0.2305103804206134;0.2269377972594887;9,51E+10;-0.15;-0.044411186161428556;BAD;14.5;10.5;4.03;0.57;2.57;5.37;1.52;7.0;25.49
FB;TECH;120;400;27/10/2015;24/2/2016;10.369.999.694.824.200;10.687.999.725.341.700;0.2589498525290482;0.31623617557395234;0.2589498525290482;0.09916232140866359;-0.5;0.0306653847517754;GOOD;31.6;90.64;0.99;15.78;6.1;17.64;10.68;6.52;7.28
AAPL;TECH;270;20000;26/8/2015;23/5/2016;25.297.876.358.032.200;2.259.282.875.061.030;0.2516411591528938;0.28207116096210233;0.2516411591528938;0.1817966419410487;-0.5;-0.10692785311850915;BAD;16.5;13.3;2.17;3.02;5.23;22.62;1.09;19.74;41.46
JPM;BANK;600;4000;14/8/2014;5/4/2016;475.308.837.890.625;51.051.185.607.910.100;0.18397891344610576;0.2531920450819695;0.18397891344610576;0.24996446803871894;-0.15;0.07406346228423645;GOOD;27.9;12.33;3.87;1.75;0.79;14.26;0.96;0.6;6.84
NVDA;TECH;720;10000;16/5/2016;7/5/2018;4.143.107.223.510.740;2.467.696.075.439.450;0.37761046122335673;0.4269307969557359;0.37761046122335673;0.9727242532958167;-0.2;4.956.148.229.609.180;GOOD;12.9;29.85;1.17;3.87;4.45;13.32;2.44;9.61;15.89
KO;FMCG;1;1500;16/11/2017;17/11/2017;4.182.595.443.725.580;4.107.120.132.446.280;0.09648338438591535;0.09820249477332633;0.09648338438591535;0.00017647985151144003;1.96;-0.018045090015224696;BAD;25.1;38.52;1.05;4.7;7.78;12.2;1.39;5.05;20.1
HMC;AUTO;720;50000;26/6/2014;15/6/2016;34.810.001.373.291.000;26.040.000.915.527.300;0.17858589381819837;0.27530388709294545;0.17858589381819837;-0.018089871441527305;-0.15;-0.2519391011714441;BAD;28.5;9.01;3.28;0.45;0.88;4.99;1.21;3.9;9.97
FB;TECH;1;25000;5/6/2015;5/6/2015;8.213.999.938.964.840;8.213.999.938.964.840;0.2469439282393087;0.2469439282393087;0.2469439282393087;0.00082635267840553;-0.5;0.0;BAD;31.6;87.52;0.98;16.11;6.09;18.59;9.01;7.24;8.11
KSS;RETAIL;240;100;20/4/2017;15/12/2017;34.708.980.560.302.700;4.547.318.649.291.990;0.43958254540442293;0.39852654558515654;0.43958254540442293;0.004507118284379269;1.96;0.31012740100262115;BAD;12.9;9.65;3.43;0.3;1.14;3.06;1.72;4.46;11.81
HOG;AUTO;600;500;11/8/2014;1/4/2016;51.644.676.208.496.000;4.489.043.045.043.940;0.20075111162119716;0.31535505283941206;0.20075111162119716;0.07326382861724565;-0.15;-0.13078300134536416;BAD;16.3;14.95;3.9;2.06;3.77;13.7;1.78;8.87;27.64
TSLA;AUTO;360;20000;3/7/2017;28/6/2018;7.052.400.207.519.530;6.998.600.006.103.510;0.3190172596397011;0.4186171301954501;0.3190172596397011;0.5086720390014114;1.96;-0.007628637036033754;BAD;31.1;0.0;-0.94;5.65;9.71;-7.6;0.97;-3.54;-15.13
COST;RETAIL;3;2000;26/3/2014;28/3/2014;94.995.361.328.125;9.429.444.122.314.450;0.15367548457523075;0.15356771497415922;0.15367548457523075;0.0013760608365745676;-0.15;-0.007378466644907106;BAD;22.3;22.17;4.45;0.4;3.71;1.82;1.2;6.33;17.54
KSS;RETAIL;20;15000;8/7/2014;28/7/2014;407.469.596.862.793;40.139.835.357.666.000;0.2206084090367674;0.2230382672151115;0.2206084090367674;0.0003755931903649391;-0.15;-0.014899868193545687;BAD;12.9;9.99;4.1;0.46;1.44;4.6;1.88;6.01;14.73
TSLA;AUTO;180;5000;6/9/2018;5/3/2019;56.189.998.626.708.900;5.530.799.865.722.650;0.4637369297664402;0.6023488957759853;0.4637369297664402;0.2543360195007057;1.68;-0.01569674303325535;BAD;31.1;0.0;-2.13;2.6;8.57;-10.23;0.81;-6.34;-34.85
PG;FMCG;20;200;9/7/2018;30/7/2018;7.259.867.095.947.260;7.545.922.088.623.040;0.14914470583131617;0.1506532813517705;0.14914470583131617;0.004232987215748325;1.68;0.03940223545352064;BAD;25.1;19.88;3.66;2.9;3.44;14.19;0.83;7.71;17.41
M;RETAIL;50;500;5/2/2015;27/3/2015;4.761.975.860.595.700;47.818.817.138.671.800;0.2214485743960532;0.21656432534960843;0.2214485743960532;0.0011891971496682742;-0.5;0.004180166774090752;GOOD;14.5;11.07;4.27;0.61;2.99;5.43;1.69;7.13;26.97
AXP;BANK;150;20000;9/6/2017;6/11/2017;757.975.082.397.461;915.748.062.133.789;0.19858958247895092;0.13942267566599006;0.19858958247895092;0.06050625185786764;1.96;0.20815061523829406;BAD;19.8;16.26;4.89;1.87;3.32;11.37;1.96;2.76;21.11
GM;AUTO;2;2000;29/9/2016;30/9/2016;2.723.978.042.602.530;27.490.713.119.506.800;0.24445544146471915;0.24369290551648895;0.24445544146471915;0.00022401325748767364;-0.2;0.009211993986621845;GOOD;30.6;3.15;8.73;0.32;0.92;10.15;0.93;6.71;32.48
WMT;RETAIL;15;2000;17/6/2015;2/7/2015;6.390.494.155.883.780;631.405.143.737.793;0.16035028750201963;0.16074189850187148;0.16035028750201963;0.003987666722585168;-0.5;-0.0119619416967118;BAD;27.3;13.71;4.97;0.46;2.75;3.32;0.89;7.9;19.36
KO;FMCG;660;500;6/9/2016;28/6/2018;37.747.955.322.265.600;40.080.177.307.128.900;0.14552157330308058;0.12828370182507978;0.14552157330308058;0.1164767019975504;-0.2;0.06178406128099925;GOOD;25.1;22.29;1.65;3.8;6.04;16.99;1.37;7.81;27.75
PEP;FMCG;360;400;31/10/2016;26/10/2017;9.454.923.248.291.010;10.043.926.239.013.600;0.13234233008038704;0.11074360044582521;0.13234233008038704;0.07831580835177952;-0.2;0.06229590397035946;GOOD;17.6;21.03;4.56;2.27;10.83;10.74;1.32;9.29;54.98
BBY;RETAIL;5;50000;20/3/2015;25/3/2015;34.402.400.970.458.900;332.469.367.980.957;0.3502080258027658;0.3488796865137829;0.3502080258027658;0.0035931294343320625;-0.5;-0.0335867305702142;BAD;12.0;8.34;3.49;0.25;2.05;3.06;1.48;8.32;26.62
F;AUTO;300;1500;9/2/2015;7/12/2015;11.768.592.834.472.600;10.752.361.297.607.400;0.216181222304199;0.22227665629717666;0.216181222304199;-0.009844040122448165;-0.5;-0.08635115099644546;BAD;29.7;14.54;0.78;0.32;1.83;0.85;6.58;0.59;4.72
TSLA;AUTO;80;20000;31/8/2018;19/11/2018;60.332.000.732.421.800;7.069.400.024.414.060;0.4614128755835122;0.553407079753068;0.4614128755835122;0.11303823088920253;1.68;0.171749641747755;BAD;31.1;0.0;-3.22;4.22;12.37;-19.9;0.73;-9.73;-51.74
AXP;BANK;15;25000;28/4/2017;12/5/2017;7.479.705.047.607.420;7.313.594.818.115.230;0.2015536149286859;0.20052822997503358;0.2015536149286859;0.006050625185786764;1.96;-0.022208125645986825;BAD;19.8;13.47;5.52;1.82;3.18;13.44;2.0;3.21;24.42
GM;AUTO;360;1000;31/8/2018;26/8/2019;3.345.839.309.692.380;3.508.087.158.203.120;0.2787859620960465;0.2821506992845415;0.2787859620960465;0.04032238634778126;1.68;0.048492421031917185;BAD;30.6;0.0;-3.3;0.37;1.32;-3.28;0.88;-2.15;-12.3
KSS;RETAIL;20;2000;3/10/2014;23/10/2014;4.755.030.822.753.900;45.794.349.670.410.100;0.22012460251433968;0.22220119660662688;0.22012460251433968;0.0003755931903649391;-0.15;-0.036928436903631505;BAD;12.9;10.47;3.99;0.47;1.46;4.43;1.66;5.79;14.21
AMZN;TECH;40;300;26/12/2014;4/2/2015;3.090.899.963.378.900;364.75;0.32887474428917285;0.33234455438545557;0.32887474428917285;0.03603153135631634;-0.15;0.18007701420806593;GOOD;27.4;0.0;-0.54;1.62;13.44;-0.27;1.12;-0.57;-2.29
F;AUTO;210;2000;3/11/2015;31/5/2016;11.277.795.791.625.900;1.073.620.319.366.450;0.22338363266756753;0.25684385411452776;0.22338363266756753;-0.0068908280857137155;-0.5;-0.048022912275426266;BAD;29.7;8.59;1.19;0.28;1.48;2.48;6.25;1.68;13.95
HOG;AUTO;1;5000;9/2/2016;10/2/2016;3.332.857.131.958.000;33.569.644.927.978.500;0.3046995966438816;0.30482970041049523;0.3046995966438816;0.00012210638102874276;-0.2;0.007233241595831924;GOOD;16.3;10.8;3.62;1.35;3.93;12.54;1.45;7.25;29.03
DB;BANK;100;50000;1/5/2017;9/8/2017;17.521.255.493.164.000;1.709.894.371.032.710;0.48478112675307106;0.4069732937609344;0.48478112675307106;-0.038611339674330364;1.96;-0.024102826592630848;BAD;30.0;0.0;-1.06;0.53;0.33;-2.61;0.8;-0.06;-1.62
KSS;RETAIL;40;10000;3/6/2016;13/7/2016;3.090.851.402.282.710;3.169.049.072.265.620;0.39366037006808935;0.40377850211896016;0.39366037006808935;0.0007511863807298782;-0.2;0.02529971836405921;GOOD;12.9;12.1;2.96;0.36;1.25;2.95;1.83;4.02;10.26
HMC;AUTO;7;4000;26/7/2016;2/8/2016;26.959.999.084.472.600;28.049.999.237.060.500;0.2790630084698774;0.2705115141719934;0.2790630084698774;-0.00017587375012595994;-0.2;0.0404302740950635;GOOD;28.5;13.5;1.64;0.32;0.0;2.4;1.11;1.93;4.87
UBS;BANK;330;400;7/6/2018;3/5/2019;13.859.125.137.329.100;11.880.523.681.640.600;0.18285428088924738;0.2235854329733949;0.18285428088924738;-0.03570936784394697;1.68;-0.14276524932725934;BAD;24.8;36.5;0.4;1.62;1.06;0.6;0.95;0.02;0.39
TGT;RETAIL;270;200;21/2/2017;17/11/2017;5.892.511.749.267.570;5.344.335.174.560.540;0.2272481180360409;0.28403577550086173;0.2272481180360409;0.08441863087736742;1.96;-0.09302935624611491;BAD;14.8;12.04;4.72;0.47;2.89;3.89;0.94;7.14;23.7
KO;FMCG;50;15000;26/3/2014;15/5/2014;31.038.976.669.311.500;3.257.444.763.183.590;0.15551123657529417;0.14426380923778798;0.15551123657529417;0.008823992575572;-0.15;0.04946912325374909;GOOD;25.1;16.62;1.87;3.02;4.15;18.22;1.03;9.38;25.72
BAC;BANK;60;300;23/1/2018;23/3/2018;29.846.084.594.726.500;27.377.105.712.890.600;0.20735454841552925;0.21823873835378577;0.20735454841552925;0.03108528892259966;1.68;-0.08272371117892549;BAD;26.3;17.8;1.55;3.0;1.06;16.71;0.91;0.73;6.16
F;AUTO;660;3000;23/9/2014;14/7/2016;117.282.075.881.958;10.815.787.315.368.600;0.18569736509970056;0.2710205999056592;0.18569736509970056;-0.021656888269385964;-0.15;-0.07779707734244751;BAD;29.7;7.1;1.51;0.3;1.58;7.53;6.35;5.29;41.43
KSS;RETAIL;4;400;7/7/2017;11/7/2017;3.302.913.284.301.750;318.803.653.717.041;0.43511216713479933;0.4364338353212859;0.43511216713479933;7,51E+10;1.96;-0.0347804308630624;BAD;12.9;9.12;3.9;0.31;1.2;3.37;1.79;4.98;13.27
NVDA;TECH;6;100;9/12/2014;15/12/2014;199.522.762.298.584;18.835.796.356.201.100;0.24714929142332304;0.24832459097970846;0.24714929142332304;0.008106035444131805;-0.15;-0.05595751887127669;BAD;12.9;18.38;1.02;2.35;2.42;12.79;5.72;8.38;13.66
KSS;RETAIL;60;4000;16/3/2017;15/5/2017;3.447.907.257.080.070;31.481.630.325.317.300;0.42985202360577657;0.4317114422358838;0.42985202360577657;0.0011267795710948173;1.96;-0.08693511808730714;BAD;12.9;10.64;3.13;0.3;1.12;2.83;1.76;4.09;10.69
DB;BANK;720;100;6/4/2016;27/3/2018;15.540.258.407.592.700;1.339.319.896.697.990;0.38895670541530997;0.30687921191058265;0.38895670541530997;-0.27800164565517865;-0.2;-0.13816111574848505;BAD;30.0;0.0;-5.91;0.51;0.31;-17.45;0.67;-0.42;-10.26
M;RETAIL;4;400;25/1/2018;29/1/2018;22.588.443.756.103.500;2.315.654.945.373.530;0.4282547212881232;0.42829552173575364;0.4282547212881232;9,51E+10;1.68;0.02515028054902325;BAD;14.5;4.33;5.04;0.26;1.16;6.11;1.48;7.97;33.31
MSFT;TECH;30;4000;24/9/2014;24/10/2014;41.561.275.482.177.700;40.722.633.361.816.400;0.18840894951002052;0.1978603210098903;0.18840894951002052;0.01793732215266843;-0.15;-0.020178450026658922;BAD;14.7;16.1;2.55;3.76;3.76;23.35;2.52;13.12;24.25
AAPL;TECH;60;400;17/6/2016;16/8/2016;22.335.105.895.996.000;25.765.745.162.963.800;0.28293312258492287;0.27625456036501395;0.28293312258492287;0.04039925376467749;-0.2;0.15359852256544562;GOOD;16.5;10.47;2.14;2.28;3.82;21.7;1.31;16.01;37.89
HMC;AUTO;1;300;8/9/2017;8/9/2017;28.459.999.084.472.600;28.459.999.084.472.600;0.15499134419562613;0.15499134419562613;0.15499134419562613;-2,51E+11;1.96;0.0;BAD;28.5;8.45;3.17;0.36;0.0;4.35;1.23;3.33;8.25
AAPL;TECH;50;200;7/8/2015;25/9/2015;2.664.244.842.529.290;26.455.642.700.195.300;0.2259193139579013;0.25736976442270354;0.2259193139579013;0.033666044803897906;-0.5;-0.0070115824985631766;BAD;16.5;13.3;2.17;3.02;5.23;22.62;1.09;19.74;41.46
PEP;FMCG;90;10000;31/10/2017;29/1/2018;9.998.572.540.283.200;10.930.148.315.429.600;0.11105883922527927;0.1002712349836396;0.11105883922527927;0.01957895208794488;1.96;0.09317087728205832;BAD;17.6;20.88;4.84;2.3;10.72;10.97;1.35;9.18;57.09
GM;AUTO;330;15000;29/8/2016;25/7/2017;2.719.968.605.041.500;31.781.864.166.259.700;0.2499297538326939;0.235201714955001;0.2499297538326939;0.03696218748546615;-0.2;0.16846437518990434;GOOD;30.6;3.1;7.81;0.28;0.88;9.12;0.98;6.24;30.96
UBS;BANK;1;3000;15/6/2018;15/6/2018;13.859.125.137.329.100;13.859.125.137.329.100;0.18327281217216598;0.18327281217216598;0.18327281217216598;-0.00010821020558771808;1.68;0.0;BAD;24.8;36.5;0.4;1.62;1.06;0.6;0.95;0.02;0.39
COST;RETAIL;90;1000;21/5/2014;19/8/2014;9.700.577.545.166.010;10.247.410.583.496.000;0.15043026392273195;0.1403212659883388;0.15043026392273195;0.04128182509723703;-0.15;0.056371183652109;GOOD;22.3;21.94;4.48;0.4;3.59;1.8;1.19;6.24;17.14
F;AUTO;10;500;17/3/2016;28/3/2016;10.603.337.287.902.800;10.304.207.801.818.800;0.24590023587846202;0.24634510802519122;0.24590023587846202;-0.00032813467074827214;-0.2;-0.02821088096718909;BAD;29.7;5.23;2.03;0.28;1.45;5.65;7.01;3.86;30.94
PG;FMCG;30;500;29/6/2015;29/7/2015;6.627.368.927.001.950;6.877.855.682.373.040;0.1302270794957081;0.13261114101453245;0.1302270794957081;0.006349480823622488;-0.5;0.03779580677190508;GOOD;25.1;27.12;2.44;2.65;2.85;9.59;1.0;5.16;10.7
SC;BANK;270;20000;24/9/2018;21/6/2019;19.342.220.306.396.400;22.012.788.772.583.000;0.2799142088743209;0.25160151217050053;0.2799142088743209;0.008499193438651183;1.68;0.13806938520410528;BAD;26.9;4.81;3.84;0.91;0.93;18.73;0.83;3.37;20.13
WMT;RETAIL;210;2000;19/4/2018;15/11/2018;8.325.987.243.652.340;9.544.132.232.666.010;0.2277926925741755;0.24796359308947466;0.2277926925741755;0.05582733411619235;1.68;0.14630637224941395;BAD;27.3;28.02;2.99;0.5;3.16;1.77;0.73;4.37;11.3
HMC;AUTO;660;50;30/5/2014;21/3/2016;3.518.000.030.517.570;2.768.000.030.517.570;0.19842840860567498;0.263228679913238;0.19842840860567498;-0.016582382154733365;-0.15;-0.21318931025980062;BAD;28.5;9.41;3.17;0.45;0.88;4.85;1.23;3.82;9.84
TSLA;AUTO;180;10000;11/7/2014;7/1/2015;43.625.999.450.683.500;42.189.998.626.708.900;0.5996519590685894;0.4798301626283532;0.5996519590685894;0.2543360195007057;-0.15;-0.0329161702208775;BAD;31.1;0.0;-0.27;12.06;31.41;-6.81;2.18;-4.7;-21.45
BBY;RETAIL;90;1000;16/10/2015;14/1/2016;29.646.408.081.054.600;22.750.104.904.174.800;0.34160245738441225;0.3504601244027042;0.34160245738441225;0.06467632981797712;-0.5;-0.23261850670155595;BAD;12.0;11.31;2.64;0.26;2.22;2.34;1.37;6.5;19.58
BBY;RETAIL;50;500;6/11/2013;26/12/2013;3.360.948.944.091.790;3.320.530.700.683.590;0.5180162637969893;0.4398731763442357;0.5180162637969893;0.035931294343320624;1.41;-0.012025842724940599;BAD;12.0;0.0;-0.52;0.26;3.18;-0.38;1.3;-1.14;-4.65
WMT;RETAIL;210;5000;9/3/2016;5/10/2016;6.068.743.896.484.370;6.532.364.654.541.010;0.2166629350671747;0.22161965444766443;0.2166629350671747;0.05582733411619235;-0.2;0.07639484644016965;GOOD;27.3;12.95;4.57;0.4;2.24;3.05;0.93;7.31;17.9
KSS;RETAIL;30;4000;23/10/2013;22/11/2013;4.129.732.894.897.460;4.151.563.262.939.450;0.23873928096686758;0.2485398861485945;0.23873928096686758;0.0005633897855474087;1.41;0.00528614527805538;BAD;12.9;10.21;4.17;0.5;1.54;4.84;1.64;6.51;15.5
